time,angle
11752,88.62
11753,87.7
11754,88.62
11755,87.7
11757,92.3
11758,87.7
11759,88.16
11760,88.16
11761,88.62
11762,88.16
11763,88.16
11764,86.79
11765,88.62
11766,88.62
11767,86.79
11768,88.16
11769,87.7
11771,90
11772,88.62
11773,88.62
11774,88.16
11776,89.54
11777,88.16
11778,87.24
11779,88.62
11780,91.38
11781,87.7
11782,88.16
11783,88.16
11784,91.38
11786,88.16
11787,88.62
11788,88.16
11789,89.54
11790,88.16
11791,88.16
11792,88.62
11793,90.46
11794,88.16
11795,88.16
11796,88.62
11797,88.16
11799,88.16
11800,88.16
11801,88.16
11802,88.62
11803,88.16
11804,88.62
11805,87.24
11806,88.16
11807,89.54
11808,87.7
11809,88.16
11810,87.7
11811,90
11813,88.62
11814,87.7
11815,88.62
11816,91.38
11817,86.79
11819,88.16
11820,87.7
11821,90.92
11822,88.16
11823,88.16
11824,88.16
11825,89.08
11826,87.7
11828,88.16
11829,87.7
11830,91.38
11831,89.54
11832,88.62
11833,88.16
11834,88.62
11835,88.16
11836,88.16
11837,88.16
11838,86.79
11839,89.54
11841,87.7
11842,87.7
11843,86.79
11844,89.08
11845,88.16
11846,87.7
11847,88.62
11848,90
11849,87.7
11850,86.79
11851,88.62
11852,91.84
11853,87.7
11855,88.16
11856,88.16
11857,88.62
11858,88.16
11859,88.16
11860,87.7
11862,93.21
11863,88.16
11864,87.7
11865,88.16
11866,88.16
11867,88.16
11868,87.7
11870,87.7
11871,90
11872,87.7
11873,87.7
11874,88.16
11875,87.7
11876,89.08
11877,87.7
11878,88.16
11879,88.16
11880,90.92
11881,88.62
11883,88.16
11884,88.62
11885,90.92
11886,88.16
11887,87.7
11888,88.62
11889,90.92
11890,88.16
11891,88.16
11892,86.79
11893,89.54
11894,88.16
11895,88.16
11897,88.16
11898,89.08
11899,88.16
11900,88.16
11901,88.62
11902,86.79
11904,88.62
11905,88.16
11906,88.16
11907,88.62
11908,88.16
11909,87.7
11911,87.7
11912,88.62
11913,90
11914,88.16
11915,88.16
11916,88.62
11917,90
11918,87.7
11919,88.16
11920,88.62
11921,90.92
11922,88.16
11923,87.7
11925,87.7
11926,90
11927,88.16
11928,87.7
11929,88.16
11930,92.76
11931,88.62
11932,88.16
11933,89.08
11934,90
11935,88.16
11936,87.7
11937,88.62
11939,88.16
11940,88.62
11941,88.16
11942,87.7
11943,88.16
11944,87.7
11945,88.16
11947,88.16
11948,88.16
11949,90.46
11950,87.7
11951,87.7
11953,88.62
11954,90
11955,88.16
11956,88.16
11957,88.62
11958,90.92
11959,87.7
11960,88.62
11961,88.62
11962,90.46
11963,87.7
11964,88.16
11965,87.7
11967,89.54
11968,87.7
11969,88.16
11970,87.7
11971,87.7
11972,90
11973,87.7
11974,88.16
11975,88.16
11976,89.54
11977,88.62
11978,88.16
11979,86.79
11981,90.92
11982,87.7
11983,88.16
11984,88.62
11985,90.46
11986,87.7
11987,88.16
11988,87.24
11990,89.08
11991,88.16
11992,88.16
11993,88.16
11995,87.7
11996,88.16
11997,88.16
11998,88.16
11999,88.16
22000,-0.46
22000,0
22001,-0.46
22002,0
22002,0
22003,0
22004,0
22005,-0.46
22005,0
22006,0
22007,-1.38
22007,-0.46
22008,-0.46
22009,0
22010,-0.46
22010,1.84
22011,-0.46
22012,0
22013,-0.46
22014,0
22016,0
22017,-0.46
22018,-0.46
22019,0
22021,-0.46
22022,0
22023,0
22024,-0.46
22025,0
22026,0
22027,22.5
22028,32.14
22029,32.14
22030,31.68
22031,31.68
22032,31.68
22033,27.09
22034,27.09
22035,22.5
22036,27.55
22037,21.58
22039,21.58
22040,21.12
22041,21.12
22042,17.91
22043,20.2
22044,19.29
22045,18.37
22046,16.99
22047,15.15
22048,15.61
22049,20.66
22050,18.83
22051,18.37
22053,18.37
22054,17.91
22055,17.45
22056,18.37
22057,17.45
22059,16.53
22060,17.45
22061,16.53
22062,17.45
22063,17.45
22064,17.91
22065,16.07
22066,17.45
22068,17.91
22069,18.37
22070,18.37
22071,18.83
22072,18.37
22073,18.83
22074,18.83
22075,18.37
22076,18.83
22077,17.91
22078,18.37
22079,18.37
22081,16.53
22082,18.37
22083,17.91
22084,18.83
22085,18.37
22086,18.83
22087,17.45
22088,17.91
22089,19.29
22090,17.91
22091,18.37
22092,18.37
22093,19.74
22095,18.83
22096,19.29
22097,18.83
22098,19.29
22099,18.83
22100,20.2
22102,20.2
22103,20.2
22104,20.2
22105,19.29
22106,20.2
22107,20.66
22109,19.74
22110,20.66
22111,20.2
22112,21.12
22113,21.58
22114,22.04
22115,20.66
22116,22.04
22117,21.58
22118,22.5
22119,22.96
22120,24.34
22121,23.88
22123,23.42
22124,24.34
22125,24.34
22126,23.88
22127,26.63
22128,25.71
22129,25.71
22130,25.26
22131,26.63
22132,27.09
22133,28.01
22134,27.55
22135,28.01
22137,28.47
22138,29.85
22139,29.39
22140,31.22
22141,30.31
22142,29.85
22144,30.77
22145,33.06
22146,31.68
22147,31.68
22148,32.6
22149,33.52
22151,32.14
22152,33.52
22153,33.98
22154,34.9
22155,34.44
22156,34.9
22157,35.36
22158,35.36
22159,35.82
22160,36.73
22161,36.28
22162,36.28
22163,36.28
22165,37.65
22166,37.65
22167,37.65
22168,38.57
22169,39.03
22170,38.57
22171,38.57
22172,38.57
22173,39.49
22174,40.87
22175,40.41
22176,40.87
22177,40.41
22179,40.87
22180,41.79
22181,42.24
22182,42.24
22183,43.16
22184,43.16
22185,43.16
22187,43.62
22188,44.08
22189,44.08
22190,44.54
22191,45
22193,45.92
22194,45.92
22195,45.46
22196,46.38
22197,46.84
22198,46.84
22199,47.3
22200,50.05
22201,47.3
22202,48.21
22203,49.13
22204,49.59
22205,50.97
22207,50.51
22208,50.97
22209,50.97
22210,52.35
22211,51.89
22212,53.27
22213,52.81
22214,53.27
22215,53.72
